MU_CODINE;MU_NOMBRE;PM_EJERCICIO;PM_GASTO1;PM_GASTO2;PM_GASTO3;PM_GASTO4;PM_GASTO5;PM_GASTO6;PM_GASTO7;PM_GASTO8;PM_GASTO9;PM_GASTO0;PM_GTOTAL;PM_INGRESO1;PM_INGRESO2;PM_INGRESO3;PM_INGRESO4;PM_INGRESO5;PM_INGRESO6;PM_INGRESO7;PM_INGRESO8;PM_INGRESO9;PM_INGRESO0;PM_ITOTAL;PM_OBSERVACIONES
03001;Adsubia;1985;10659.71;20994.67;97.66;1291.79;0.00;7933.36;0.00;0.00;1111.87;0.00;42089.06;4129.06;2814.98;8683.69;12932.36;180.30;0.00;0.00;0.00;0.00;13348.67;42089.06;
03001;Adsubia;1987;11508.37;19065.77;97.66;1447.75;0.00;45951.92;0.00;0.00;1712.88;0.00;79784.35;7197.97;3906.58;22747.14;45692.26;240.40;0.00;0.00;0.00;0.00;0.00;79784.35;
03001;Adsubia;1988;11835.62;24821.80;97.66;2102.56;0.00;2522.05;0.00;0.00;1712.88;0.00;43092.57;7229.23;3906.58;15796.21;15920.15;240.40;0.00;0.00;0.00;0.00;0.00;43092.57;
03001;Adsubia;1989;14368.90;34119.13;2221.00;2052.58;0.00;168765.45;0.00;0.00;1712.88;0.00;223239.94;7687.88;4146.98;62658.44;20175.35;240.40;0.00;88401.01;0.00;39929.87;0.00;223239.93;
03001;Adsubia;1990;17462.13;39875.10;2221.00;2064.39;0.00;78719.71;0.00;0.00;1712.88;0.00;142055.21;19095.36;4207.08;55328.32;23445.13;601.01;0.00;39378.31;0.00;0.00;0.00;142055.21;
03001;Adsubia;1991;31846.74;2404.05;17955.88;28050.85;601.01;21895.51;17250.05;0.00;0.00;0.00;120004.09;31846.74;2404.05;17955.88;28050.85;601.01;21895.51;17250.05;0.00;0.00;0.00;120004.09;
03001;Adsubia;1992;22380.04;61273.18;1612.23;1803.04;0.00;21563.08;0.00;0.00;14756.21;0.00;123387.78;50845.62;10818.22;18550.76;34709.94;1202.02;7261.22;0.00;0.00;0.00;0.00;123387.78;BOP. 153
03001;Adsubia;1993;24157.15;79477.88;911.12;1803.04;0.00;69745.80;0.00;0.00;7814.71;0.00;183909.70;75395.16;10818.22;18607.94;35820.32;1202.02;7261.22;34804.82;0.00;0.00;0.00;183909.70;BOP. 120
03001;Adsubia;1994;24281.35;85080.11;362.31;1803.04;0.00;58009.26;0.00;0.00;8363.52;0.00;177899.59;62152.24;12020.24;22864.99;37593.31;1202.02;7261.22;34805.55;0.00;0.00;0.00;177899.57;
03001;Adsubia;1995;40565.08;102490.65;0.00;1803.04;0.00;27120.85;15385.91;150.25;601.01;0.00;188116.79;63860.58;12020.24;31150.78;50838.26;1202.02;29044.90;0.00;0.00;0.00;0.00;188116.78;BOP NUM.109
03001;Adsubia;1996;40565.08;102490.65;0.00;1803.04;0.00;27120.85;15385.91;150.25;601.01;0.00;188116.79;63860.58;12020.24;31150.78;50838.26;1202.02;29044.90;0.00;0.00;0.00;0.00;188116.78;
03001;Adsubia;1997;29129.95;109883.58;0.00;7572.22;0.00;33717.88;9015.18;0.00;0.00;0.00;189318.81;67011.59;12020.24;31529.70;49614.21;1502.53;18625.37;9015.18;0.00;0.00;0.00;189318.82;B.O.P. N.97
03001;Adsubia;1998;29610.36;126032.24;0.00;7313.78;0.00;25160.40;0.00;0.00;0.00;0.00;188116.78;68397.07;14424.29;32130.71;53036.82;1502.53;18625.37;0.00;0.00;0.00;0.00;188116.79;B.O.P. N.122 1/6/98
03001;Adsubia;1999;52706.23;130419.63;0.00;7558.63;0.00;11856.59;9015.18;0.00;0.00;0.00;211556.26;72689.29;14424.29;32305.00;75167.98;1021.72;15947.98;0.00;0.00;0.00;0.00;211556.26;B.O.P.105 11-05-99
03001;Adsubia;2000;53682.83;155882.26;0.00;5015.57;0.00;63086.93;9015.18;0.00;0.00;0.00;286682.77;76852.43;22237.45;62228.79;111755.11;1868.10;11740.89;0.00;0.00;0.00;0.00;286682.77;B.O.P. 149 30/06/2000
03001;Adsubia;2001;35601.72;176928.91;0.00;5048.50;0.00;41615.25;8857.03;0.00;0.00;0.00;268051.41;85713.49;22838.46;59010.36;91753.27;1803.04;6932.79;0.00;0.00;0.00;0.00;268051.41;B.O.P. 154 07/07/2001
03001;Adsubia;2002;48058.00;162579.00;0.00;10530.00;0.00;68318.00;9015.00;0.00;0.00;0.00;298500.00;88743.00;26977.00;65957.00;70050.00;1800.00;0.00;44973.00;0.00;0.00;0.00;298500.00;B.O.P. 133 12/06/2002
03001;Adsubia;2003;49925.00;168595.00;10339.00;11620.00;0.00;439521.00;0.00;0.00;0.00;0.00;680000.00;90974.00;36941.00;67525.00;97363.00;1910.00;0.00;178505.00;0.00;206782.00;0.00;680000.00;B.O.P. 119 26/05/2003
03001;Adsubia;2004;59129.00;202765.00;10339.00;11973.00;0.00;67012.00;12000.00;0.00;206782.00;0.00;570000.00;114320.00;49730.00;85730.00;82883.00;6050.00;0.00;231287.00;0.00;0.00;0.00;570000.00;B.O.P. 150 02/07/2004
03001;Adsubia;2005;92869.04;253559.30;10339.00;14750.00;0.00;68482.66;0.00;0.00;0.00;0.00;440000.00;119747.00;92150.00;88605.00;86648.48;5945.00;0.00;46904.52;0.00;0.00;0.00;440000.00;B.O.P. 128 08/06/2005
03001;Adsubia;2006;99135.14;317842.54;10300.00;16750.00;0.00;98526.42;12445.90;0.00;0.00;0.00;555000.00;181210.86;70000.00;182605.00;87097.57;5545.00;0.00;28541.57;0.00;0.00;0.00;555000.00;B.O.P. 119 26/05/2006
03001;Adsubia;2007;106523.66;309866.34;200.00;18410.00;0.00;65000.00;0.00;0.00;0.00;0.00;500000.00;175016.99;80000.00;148562.63;90875.38;5545.00;0.00;0.00;0.00;0.00;0.00;500000.00;B.O.P. 79 18/04/2007
03001;Adsubia;2008;128848.00;349350.00;0.00;35333.00;0.00;112950.00;5537.00;0.00;0.00;0.00;632018.00;121500.00;12000.00;0.00;379618.00;98500.00;5400.00;0.00;15000.00;0.00;0.00;632018.00;B.O.P. 147 01/08/2008
03001;Adsubia;2009;128848.00;349350.00;0.00;35333.00;0.00;112950.00;5537.00;0.00;0.00;0.00;632018.00;121500.00;12000.00;379618.00;98500.00;5400.00;0.00;15000.00;0.00;0.00;0.00;632018.00;MINISTERIO HACIENDA - BASE PRESUPUESTOS
03001;Adsubia;2010;153268.00;305755.00;2000.00;16512.00;0.00;3070.00;0.00;0.00;0.00;0.00;480605.00;133000.00;2000.00;209705.00;129500.00;6200.00;0.00;200.00;0.00;0.00;0.00;480605.00;B.O.P. 11 18/01/2011
03001;Adsubia;2011;144560.00;266305.00;2900.00;16520.00;0.00;71500.00;0.00;0.00;0.00;0.00;501785.00;134300.00;2000.00;168285.00;134000.00;6200.00;0.00;57000.00;0.00;0.00;0.00;501785.00;B.O.P. 69 07/04/2011
03001;Adsubia;2012;96510.00;251339.11;9800.00;17050.00;0.00;0.00;0.00;0.00;0.00;0.00;374699.11;135334.11;3500.00;142265.00;89500.00;4100.00;0.00;0.00;0.00;0.00;0.00;374699.11;B.O.P. 202 23/10/2012
03001;Adsubia;2013;121458.55;280800.00;15632.00;15300.00;0.00;6100.00;0.00;0.00;0.00;0.00;439290.55;136448.55;4000.00;173667.00;117700.00;7475.00;0.00;0.00;0.00;0.00;0.00;439290.55;B.O.P. 141 26/07/2013
03001;Adsubia;2014;96320.00;301044.00;14600.00;15285.00;0.00;9300.00;0.00;0.00;16150.00;0.00;452699.00;136950.00;6000.00;170694.00;113580.00;25475.00;0.00;0.00;0.00;0.00;0.00;452699.00;B.O.P. 162 26/08/2014
03001;Adsubia;2015;100590.00;296370.00;1000.00;15450.00;0.00;14924.61;0.00;0.00;28500.00;0.00;456834.61;136750.00;8519.61;184865.00;105100.00;21600.00;0.00;0.00;0.00;0.00;0.00;456834.61;B.O.P. 75 21/04/2015
