DP_EJERCICIO;MU_CODINE;MU_NOMBRE;DP_DPUBLICA
2020;03001;Adsubia;0
2019;03001;Adsubia;99.72
2018;03001;Adsubia;128.21
2017;03001;Adsubia;156.7
2016;03001;Adsubia;185.51
2015;03001;Adsubia;214
2015;03002;Agost;0
2016;03002;Agost;0
2017;03002;Agost;0
2018;03002;Agost;2.07
2019;03002;Agost;2.64
2020;03002;Agost;1.42
2020;03003;Agres;0
2019;03003;Agres;0
2018;03003;Agres;0
2017;03003;Agres;0
2016;03003;Agres;0
2015;03003;Agres;0
2015;03004;Aigües;878
2016;03004;Aigües;878.48
2017;03004;Aigües;878.48
2018;03004;Aigües;878.48
2019;03004;Aigües;878.48
2020;03004;Aigües;878.48
2020;03005;Albatera;474.01
2019;03005;Albatera;1933.36
2018;03005;Albatera;2534.41
2017;03005;Albatera;3701.33
2016;03005;Albatera;4428.98
2015;03005;Albatera;5168
2015;03006;Alcalalí;0
2016;03006;Alcalalí;0
2017;03006;Alcalalí;0
2018;03006;Alcalalí;0
2019;03006;Alcalalí;0
2020;03006;Alcalalí;0
2020;03007;Alcocer de Planes;0
2019;03007;Alcocer de Planes;0
2018;03007;Alcocer de Planes;0
2017;03007;Alcocer de Planes;0
2016;03007;Alcocer de Planes;0
2015;03007;Alcocer de Planes;0
2015;03008;Alcoleja;0
2016;03008;Alcoleja;0
2017;03008;Alcoleja;0
2018;03008;Alcoleja;0
2019;03008;Alcoleja;0
2020;03008;Alcoleja;0
2020;03009;Alcoy/Alcoi;22525.9
2019;03009;Alcoy/Alcoi;23156
2018;03009;Alcoy/Alcoi;22261
2017;03009;Alcoy/Alcoi;23763.8
2016;03009;Alcoy/Alcoi;22194.3
2015;03009;Alcoy/Alcoi;24596
2015;03010;Alfafara;41
2016;03010;Alfafara;0
2017;03010;Alfafara;0
2018;03010;Alfafara;0
2019;03010;Alfafara;0
2020;03010;Alfafara;0
2020;03011;Alfàs del Pi (l');7286.21
2019;03011;Alfàs del Pi (l');7583.36
2018;03011;Alfàs del Pi (l');9511.35
2017;03011;Alfàs del Pi (l');11380.7
2016;03011;Alfàs del Pi (l');13443.6
2015;03011;Alfàs del Pi (l');14606
2015;03012;Algorfa;2678
2016;03012;Algorfa;1460.15
2017;03012;Algorfa;459.42
2018;03012;Algorfa;394.24
2019;03012;Algorfa;0
2020;03012;Algorfa;0
2020;03013;Algueña;0.85
2019;03013;Algueña;0.39
2018;03013;Algueña;0
2017;03013;Algueña;0
2016;03013;Algueña;0.5
2015;03013;Algueña;267
2015;03014;Alicante/Alacant;118859
2016;03014;Alicante/Alacant;91746.2
2017;03014;Alicante/Alacant;83881.3
2018;03014;Alicante/Alacant;24908.9
2019;03014;Alicante/Alacant;24629.8
2020;03014;Alicante/Alacant;576.56
2020;03015;Almoradí;1040.93
2019;03015;Almoradí;1321.38
2018;03015;Almoradí;1827.1
2017;03015;Almoradí;2583.79
2016;03015;Almoradí;3183.05
2015;03015;Almoradí;3883
2015;03016;Almudaina;0
2016;03016;Almudaina;0
2017;03016;Almudaina;0
2018;03016;Almudaina;0
2019;03016;Almudaina;0
2020;03016;Almudaina;0
2020;03017;Alqueria d'Asnar (l');0
2019;03017;Alqueria d'Asnar (l');0
2018;03017;Alqueria d'Asnar (l');0
2017;03017;Alqueria d'Asnar (l');0
2016;03017;Alqueria d'Asnar (l');0
2015;03017;Alqueria d'Asnar (l');0
2015;03018;Altea;17952
2016;03018;Altea;14970.5
2017;03018;Altea;10740.8
2018;03018;Altea;7772.48
2019;03018;Altea;6553.68
2020;03018;Altea;6300.15
2020;03019;Aspe;4.46
2019;03019;Aspe;9.02
2018;03019;Aspe;3.8
2017;03019;Aspe;684.72
2016;03019;Aspe;1668.77
